Harga,Cicilan,Alamat,KT,KM,Garasi,LT,LB
149500 ,Cicilan : 16 Jutaan per bulan,"Regol, Bandung",3.00 ,3.00 ,2.00 ,149.00 ,169.00 
63700 ,Cicilan : 7 Jutaan per bulan,"Turangga, Bandung",4.00 ,1.00 ,0.00 ,132.00 ,100.00 
110500 ,Cicilan : 12 Jutaan per bulan,"Antapani, Bandung",4.00 ,1.00 ,1.00 ,160.00 ,250.00 
31525 ,Cicilan : 3 Jutaan per bulan,"Antapani, Bandung",2.00 ,1.00 ,0.00 ,60.00 ,80.00 
19500 ,Cicilan : 2 Jutaan per bulan,"Kopo, Bandung",2.00 ,1.00 ,1.00 ,60.00 ,33.00 
175500 ,Cicilan : 19 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",3.00 ,1.00 ,1.00 ,162.00 ,97.00 
149500 ,Cicilan : 16 Jutaan per bulan,"Setiabudi, Bandung",3.00 ,3.00 ,2.00 ,154.00 ,100.00 
1820000 ,Cicilan : 200 Jutaan per bulan,"Dago, Bandung",5.00 ,4.00 ,4.00 ,748.00 ,900.00 
71500 ,Cicilan : 7 Jutaan per bulan,"Terusan Buah Batu, Bandung",5.00 ,3.00 ,2.00 ,140.00 ,120.00 
120250 ,Cicilan : 13 Jutaan per bulan,"Geger Kalong, Bandung",4.00 ,3.00 ,2.00 ,125.00 ,179.00 
65000 ,Cicilan : 7 Jutaan per bulan,"Soekarno Hatta, Bandung",2.00 ,1.00 ,1.00 ,42.00 ,72.00 
185250 ,Cicilan : 20 Jutaan per bulan,"Pajajaran, Bandung",2.00 ,2.00 ,2.00 ,183.00 ,130.00 
234000 ,Cicilan : 25 Jutaan per bulan,"Mekar Wangi, Bandung",4.00 ,1.00 ,2.00 ,169.00 ,200.00 
201500 ,Cicilan : 22 Jutaan per bulan,"Otista, Bandung",4.00 ,3.00 ,3.00 ,177.00 ,117.00 
1462500 ,Cicilan : 161 Jutaan per bulan,"Pasir Kaliki, Bandung",4.00 ,4.00 ,6.00 ,584.00 ,584.00 
81250 ,Cicilan : 8 Jutaan per bulan,"Buah Batu, Bandung",5.00 ,5.00 ,0.00 ,100.00 ,90.00 
70850 ,Cicilan : 7 Jutaan per bulan,"Antapani, Bandung",3.00 ,2.00 ,0.00 ,77.00 ,109.00 
123500 ,Cicilan : 13 Jutaan per bulan,"Turangga, Bandung",4.00 ,2.00 ,1.00 ,141.00 ,185.00 
NULL,NULL,NULL,2.00 ,1.00 ,0.00 ,106.00 ,75.00 
617500 ,Cicilan : 68 Jutaan per bulan,"Turangga, Bandung",5.00 ,6.00 ,2.00 ,402.00 ,600.00 
169000 ,Cicilan : 18 Jutaan per bulan,"Buah Batu, Bandung",3.00 ,3.00 ,0.00 ,126.00 ,127.00 
1040000 ,Cicilan : 114 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",6.00 ,7.00 ,4.00 ,660.00 ,1350.00 
471250 ,Cicilan : 51 Jutaan per bulan,"Turangga, Bandung",7.00 ,5.00 ,0.00 ,363.00 ,550.00 
78000 ,Cicilan : 8 Jutaan per bulan,"Bandung Kota, Bandung",3.00 ,2.00 ,1.00 ,80.00 ,110.00 
260000 ,Cicilan : 28 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,3.00 ,0.00 ,215.00 ,300.00 
208000 ,Cicilan : 22 Jutaan per bulan,"Setiabudi, Bandung",4.00 ,4.00 ,0.00 ,221.00 ,254.00 
357500 ,Cicilan : 39 Jutaan per bulan,"Geger Kalong, Bandung",9.00 ,5.00 ,4.00 ,500.00 ,401.00 
390000 ,Cicilan : 42 Jutaan per bulan,"Dago, Bandung",5.00 ,6.00 ,1.00 ,406.00 ,200.00 
149500 ,Cicilan : 16 Jutaan per bulan,"Geger Kalong, Bandung",NULL,NULL,0.00 ,124.00 ,130.00 
225550 ,Cicilan : 24 Jutaan per bulan,"Taman Kopo Indah, Bandung",4.00 ,3.00 ,2.00 ,286.00 ,475.00 
71500 ,Cicilan : 7 Jutaan per bulan,"Cibaduyut, Bandung",4.00 ,2.00 ,2.00 ,128.00 ,100.00 
747500 ,Cicilan : 82 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",5.00 ,3.00 ,2.00 ,489.00 ,400.00 
117000 ,Cicilan : 12 Jutaan per bulan,"Gunung Batu, Bandung",3.00 ,2.00 ,2.00 ,153.00 ,120.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Setiabudi, Bandung",5.00 ,5.00 ,10.00 ,899.00 ,300.00 
37375 ,Cicilan : 4 Jutaan per bulan,"Geger Kalong, Bandung",2.00 ,1.00 ,1.00 ,80.00 ,49.00 
266500 ,Cicilan : 29 Jutaan per bulan,"Batununggal, Bandung",3.00 ,3.00 ,1.00 ,307.00 ,250.00 
487500 ,Cicilan : 53 Jutaan per bulan,"Pondok Hijau, Bandung",3.00 ,3.00 ,2.00 ,500.00 ,300.00 
1170000 ,Cicilan : 128 Jutaan per bulan,"Cipaganti, Bandung",6.00 ,3.00 ,2.00 ,626.00 ,350.00 
78000 ,Cicilan : 8 Jutaan per bulan,"Arcamanik, Bandung",4.00 ,2.00 ,0.00 ,123.00 ,137.00 
94250 ,Cicilan : 10 Jutaan per bulan,"Muara, Bandung",3.00 ,2.00 ,1.00 ,105.00 ,120.00 
83850 ,Cicilan : 9 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,3.00 ,0.00 ,90.00 ,140.00 
NULL,NULL,NULL,3.00 ,3.00 ,3.00 ,82.00 ,72.00 
84500 ,Cicilan : 9 Jutaan per bulan,"Antapani, Bandung",3.00 ,3.00 ,2.00 ,80.00 ,100.00 
122850 ,Cicilan : 13 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",2.00 ,2.00 ,1.00 ,144.00 ,100.00 
146250 ,Cicilan : 16 Jutaan per bulan,"Margacinta, Bandung",4.00 ,2.00 ,0.00 ,300.00 ,200.00 
78000 ,Cicilan : 8 Jutaan per bulan,"Holis Cigondewah, Bandung",2.00 ,2.00 ,0.00 ,140.00 ,60.00 
123500 ,Cicilan : 13 Jutaan per bulan,"Batununggal, Bandung",3.00 ,2.00 ,1.00 ,111.00 ,102.00 
159250 ,Cicilan : 17 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,3.00 ,2.00 ,135.00 ,200.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Batununggal, Bandung",4.00 ,4.00 ,2.00 ,303.00 ,225.00 
